STIM1	STIM2	STIM3	REPONSE
i_bin_H08	i_bin_H09	I_bean_H07	3
i_bin_H09	I_bean_H06	i_bin_H08	2
I_bean_H06	i_bin_H09	i_bin_H07	1
I_bean_H04	I_bean_H05	i_bin_H09	3
I_bean_H07	i_bin_H04	I_bean_H08	2
i_bin_H04	I_bean_H09	I_bean_H07	1
i_min_H06	i_min_H05	I_mean_H07	3
i_min_H07	I_mean_H04	i_min_H06	2
I_mean_H05	i_min_H04	i_min_H08	1
I_mean_H05	I_mean_H08	i_min_H04	3
I_mean_H06	i_min_H07	I_mean_H05	2
i_min_H07	I_mean_H04	I_mean_H05	1
i_chip_H05	i_chip_H08	I_cheap_H04	3
i_chip_H09	I_cheap_H08	i_chip_H07	2
I_cheap_H04	i_chip_H07	i_chip_H05	1
I_cheap_H05	I_cheap_H07	i_chip_H09	3
I_cheap_H04	i_chip_H09	I_cheap_H06	2
i_chip_H07	I_cheap_H09	I_cheap_H04	1
i_lick_H08	i_lick_H09	I_leak_H06	3
i_lick_H04	I_leak_H05	i_lick_H09	2
I_leak_H09	i_lick_H08	i_lick_H06	1
I_leak_H08	I_leak_H07	i_lick_H05	3
I_leak_H09	i_lick_H04	I_leak_H07	2
i_lick_H09	I_leak_H08	I_leak_H07	1
i_bik_H08	i_bik_H05	I_beak_H04	3
i_bik_H08	I_beak_H06	i_bik_H09	2
I_beak_H07	i_bik_H05	i_bik_H08	1
I_beak_H06	I_beak_H05	i_bik_H09	3
I_beak_H06	i_bik_H08	I_beak_H05	2
i_bik_H09	I_beak_H07	I_beak_H06	1
v_luck_H04	v_luck_H09	a_lack_H06	3
v_luck_H05	a_lack_H06	v_luck_H07	2
a_lack_H06	v_luck_H04	v_luck_H09	1
a_lack_H06	a_lack_H05	v_luck_H09	3
a_lack_H05	v_luck_H09	a_lack_H06	2
v_luck_H05	a_lack_H04	a_lack_H08	1
v_buck_H06	v_buck_H09	a_back_H08	3
v_buck_H06	a_back_H07	v_buck_H08	2
a_back_H05	v_buck_H08	v_buck_H07	1
a_back_H08	a_back_H07	v_buck_H06	3
a_back_H04	v_buck_H08	a_back_H07	2
v_buck_H08	a_back_H07	a_back_H04	1
v_cup_H05	v_cup_H06	a_cap_H07	3
v_cup_H07	a_cap_H08	v_cup_H04	2
a_cap_H07	v_cup_H09	v_cup_H05	1
a_cap_H05	a_cap_H07	v_cup_H09	3
a_cap_H08	v_cup_H05	a_cap_H07	2
v_cup_H06	a_cap_H07	a_cap_H04	1
v_putt_H05	v_putt_H07	a_pat_H08	3
v_putt_H09	a_pat_H05	v_putt_H07	2
a_pat_H09	v_putt_H06	v_putt_H07	1
a_pat_H08	a_pat_H06	v_putt_H04	3
a_pat_H06	v_putt_H04	a_pat_H08	2
v_putt_H04	a_pat_H05	a_pat_H06	1
v_mutt_H09	v_mutt_H05	a_mat_H06	3
v_mutt_H05	a_mat_H08	v_mutt_H06	2
a_mat_H06	v_mutt_H07	v_mutt_H05	1
a_mat_H04	a_mat_H05	v_mutt_H08	3
a_mat_H04	v_mutt_H06	a_mat_H09	2
v_mutt_H08	a_mat_H09	a_mat_H04	1
v_luck_H04	v_luck_H08	A_lark_H06	3
v_luck_H09	A_lark_H05	v_luck_H07	2
A_lark_H07	v_luck_H09	v_luck_H05	1
A_lark_H05	A_lark_H04	v_luck_H08	3
A_lark_H04	v_luck_H05	A_lark_H07	2
v_luck_H08	A_lark_H06	A_lark_H04	1
v_buck_H04	v_buck_H05	A_bark_H09	3
v_buck_H05	A_bark_H09	v_buck_H04	2
A_bark_H09	v_buck_H05	v_buck_H07	1
A_bark_H09	A_bark_H04	v_buck_H09	3
A_bark_H06	v_buck_H04	A_bark_H09	2
v_buck_H05	A_bark_H04	A_bark_H07	1
v_cup_H07	v_cup_H08	A_carp_H09	3
v_cup_H09	A_carp_H08	v_cup_H05	2
