STIM1	STIM2	STIM3	REPONSE
a_lack_F06	a_lack_F05	v_puck_F09	3
a_lack_F05	v_puck_F09	a_lack_F06	2
v_puck_F05	a_lack_F04	a_lack_F08	1
v_cut_F06	v_cut_F09	a_cat_F08	3
v_cut_F06	a_cat_F07	v_cut_F08	2
a_cat_F05	v_cut_F08	v_cut_F07	1
a_cat_F08	a_cat_F07	v_cut_F06	3
a_cat_F04	v_cut_F08	a_cat_F07	2
v_cut_F08	a_cat_F07	a_cat_F04	1
v_cud_F05	v_cud_F06	a_cad_F07	3
v_cud_F07	a_cad_F08	v_cud_F04	2
a_cad_F07	v_cud_F09	v_cud_F05	1
a_cad_F05	a_cad_F07	v_cud_F09	3
a_cad_F08	v_cud_F05	a_cad_F07	2
v_cud_F06	a_cad_F07	a_cad_F04	1
v_bun_F05	v_bun_F07	a_ban_F08	3
v_bun_F09	a_ban_F05	v_bun_F07	2
a_ban_F09	v_bun_F06	v_bun_F07	1
a_ban_F08	a_ban_F06	v_bun_F04	3
a_ban_F06	v_bun_F04	a_ban_F08	2
v_bun_F04	a_ban_F05	a_ban_F06	1
v_tut_F09	v_tut_F05	a_tat_F06	3
v_tut_F05	a_tat_F08	v_tut_F06	2
a_tat_F06	v_tut_F07	v_tut_F05	1
a_tat_F04	a_tat_F05	v_tut_F08	3
a_tat_F04	v_tut_F06	a_tat_F09	2
v_tut_F08	a_tat_F09	a_tat_F04	1
v_puck_F04	v_puck_F08	A_park_F06	3
v_puck_F09	A_park_F05	v_puck_F07	2
A_park_F07	v_puck_F09	v_puck_F05	1
A_park_F05	A_park_F04	v_puck_F08	3
A_park_F04	v_puck_F05	A_park_F07	2
v_puck_F08	A_park_F06	A_park_F04	1
v_cut_F04	v_cut_F05	A_cart_F09	3
v_cut_F05	A_cart_F09	v_cut_F04	2
A_cart_F09	v_cut_F05	v_cut_F07	1
A_cart_F09	A_cart_F04	v_cut_F09	3
A_cart_F06	v_cut_F04	A_cart_F09	2
v_cut_F05	A_cart_F04	A_cart_F07	1
v_cud_F07	v_cud_F08	A_card_F09	3
v_cud_F09	A_card_F08	v_cud_F05	2
A_card_F08	v_cud_F06	v_cud_F09	1
A_card_F05	A_card_F09	v_cud_F04	3
A_card_F05	v_cud_F06	A_card_F07	2
v_cud_F07	A_card_F04	A_card_F09	1
v_bun_F09	v_bun_F04	A_barn_F08	3
v_bun_F08	A_barn_F09	v_bun_F05	2
A_barn_F09	v_bun_F04	v_bun_F05	1
A_barn_F07	A_barn_F06	v_bun_F05	3
A_barn_F07	v_bun_F06	A_barn_F05	2
v_bun_F07	A_barn_F09	A_barn_F05	1
v_tut_F05	v_tut_F07	A_tart_F08	3
v_tut_F06	A_tart_F09	v_tut_F05	2
A_tart_F07	v_tut_F05	v_tut_F09	1
A_tart_F06	A_tart_F09	v_tut_F07	3
A_tart_F08	v_tut_F04	A_tart_F05	2
v_tut_F05	A_tart_F08	A_tart_F06	1
